player_name, player_tagline, player_champion_name, player_items, player_kills, player_death, player_assists, player_level, player_position, player_experience, player_gold_earned, player_cs, player_cs_jg
Virsep, 000, Jax, [3110, 2055, 3047, 1036, 2022, 3078, 3340], 4, 9, 7, 15, TOP, 13469, 9087, 155, 0
Haise, NA1, Viego, [6610, 3078, 3053, 3047, 1037, 0, 3364], 10, 4, 7, 16, JUNGLE, 15082, 13923, 29, 174
imdaboss234, NA1, Veigar, [3040, 3020, 3089, 1082, 3137, 0, 3363], 6, 7, 4, 15, MIDDLE, 13444, 11314, 185, 0
keanu, lara, Seraphine, [1056, 2503, 3020, 6653, 1026, 4005, 3363], 4, 4, 4, 14, BOTTOM, 12859, 11355, 234, 4
Tokisaki2Kurumi, NA1, Velkoz, [3118, 3871, 2055, 3158, 3916, 1052, 3364], 0, 8, 9, 12, UTILITY, 9397, 6539, 15, 0
zak, vvv, Riven, [6692, 3071, 1054, 3158, 6610, 2021, 3364], 7, 5, 6, 16, TOP, 15861, 13500, 207, 11
Hanataro, Nokia, Qiyana, [6698, 2021, 3134, 6694, 6695, 3158, 3364], 16, 9, 5, 16, JUNGLE, 15655, 14348, 45, 157
FlZZlCS, NA1, Sylas, [1056, 3100, 4645, 3020, 1052, 1058, 3364], 4, 8, 9, 15, MIDDLE, 14481, 10639, 176, 4
Deadly44, NA1, Jhin, [6676, 3094, 3031, 1055, 3009, 0, 3363], 5, 1, 10, 15, BOTTOM, 13976, 12134, 220, 8
Vexile, 999, Soraka, [3111, 6617, 3222, 0, 0, 3870, 3364], 0, 2, 17, 13, UTILITY, 10933, 7428, 33, 0
